no,uclu,baslik,turkce_aciklama
66,"TR,DF_TUFE_SDMX_TT09,1.0",Consumer price index by expenditure groups,Harcama gruplarına göre endeks sonuçları
67,"TR,DF_UH_BH_KATKI,1.0",Contribution of regions to the GDP percentage change of Türkiye (with chain linked volume index) (%),"Zincirlenmiş hacim endeksiyle bölgelerin Türkiye GSYH büyümesine verdiği katkıları içeren tablodur. İBBS-1, İBBS-2 ve İBBS-3 düzeyinde mevcuttur."
68,"TR,DF_DOGUM_KDH_C,1.0",Crude Birth Rate by Provinces (‰),Yıllar itibarıyla illere göre kaba doğum hızıdır.
69,"TR,DF_KABA_BOSANMA_HIZI,1.0",Crude Divorce Rate by Provinces (‰),Yıllar itibarıyla illere göre kaba boşanma hızıdır(Binde).
70,"TR,DF_KABA_EVLENME_HIZI,1.0",Crude Marriage Rate by Provinces,Yıllara itibarıyla illere göre kaba evlenme hızıdır.
71,"TR,DF_GENEL_DEVLET_ACIK_FAZLA_BORC_1,1.0",Deficit/Surplus and Debt Levels of General Government,"Genel devlet mali göstergelerini ve bunların alt bileşenlerini kapsayacak şekilde, borç, finansman araçları ve makroekonomik büyüklüklerin sınıflandırılmasını tanımlar."
72,"TR,DF_MOTORLU_KARA_TASIT_YAKIT_CINSI_V4,1.0",Distribution of Cars Registered to the Traffic According to Fuel Type,Trafiğe kayıtlı otomobillerin yakıt cinsine göre dağılımını sunmaktadır.
73,"TR,DF_MOTORLU_KARA_TASIT_OTOMOBIL_RENK_V2,1.0",Distribution of Cars Registered to the Traffic by Colours,Trafiğe kaydı yapılan otomobillerin renklerine göre dağılımını sunmaktadır.
74,"TR,DF_MOTORLU_KARA_TASIT_MOTOR_SILINDIR_HACIM_V2,1.0",Distribution of Cars Registered to the Traffic by Engine Size,Trafiğe kaydı yapılan otomobillerin motor silindir hacimlerine göre dağılımını sunmaktadır.
75,"TR,DF_MOTORLU_KARA_TASIT_MARKA_V2,1.0",Distribution of Cars Registered to the Traffic by Trademarks,Trafiğe kaydı yapılan otomobillerin markalara göre dağılımını sunmaktadır.
76,"TR,DF_TASIT_KILOMETRE_OTOMOBIL_YAKIT_TUR_V1,1.0",Distribution of Distance Travelled by Passenger Cars,Otomobiller Tarafından Katedilen Mesafenin Yakıt Cinslerine Göre Dağılımını sunmaktadır.
77,"TR,DF_MOTORLU_KARA_TASIT_KAYDI_YAPILAN_IL_V2,1.0",Distribution of Road Motor Vehicles Registered to the Traffic by Provinces,Trafiğe kaydı yapılan taşıtların illere göre dağılımını sunmaktadır.
78,"TR,DF_TASIT_KILOMETRE_TOPLAM_YAKIT_TURU_V2,1.0",Distribution of Total Vehicle-Kilometer by Fuel Type,Toplam taşıt-kilometrenin yakıt türlerine göre dağılımını sunmaktadır.
79,"TR,DF_BD_DOGUM_TEKNO_DUZEY,1.1",Distribution of enterprises born in manufacturing by technology level,İmalat sanayinde doğan girişimlerin yıllara göre teknoloji düzeyi ile ilgili göstergelerdir.
80,"TR,DF_BD_SEKTOREL_HIZLI_BUYUYEN,1.1",Distribution of high growth enterprises by sectors,Hızlı büyüyen ve ceylan girişimlerin sektörlere göre yıl bazında girişim sayısı ve oran göstergeleridir.
81,"TR,DF_GOC_ULKE_DAGILIM,1.0",Distribution of higher education graduates by country of emigration,Yükseköğretim mezunlarının göç ettikleri ülkelere göre dağılımını içerir.
82,"TR,DF_RES_ILAN_REKLAM_BEDEL_TUR,1.0",Distribution of official announcement and advertising fees by type,Resmi ilan ve reklam bedellerinin türlerine göre dağılımını içerir.
83,"TR,DF_RESMI_ILAN_KONTENJAN,1.0",Distribution of periodical publishing official announcements and advertisements by publication and quotas,Resmi ilan ve reklam yayımlayan süreli yayınların yayın ve kontenjan yerlerine göre dağılımını içerir.
84,"TR,DF_BED_NUFUS_DAGILIM,1.0",Distribution of population by the level of education completed,Bitirilen eğitim düzeyine göre nüfusun dağılımı ile ilgili verileri içerir.
85,"TR,DF_E_YOYAS,1.0",Distribution of tertiary education graduates according to sex and age group (25+ aged),Cinsiyet ve yaş grubuna göre yükseköğretim mezun dağılımı (25+ yaş)
86,"TR,DF_BOSANMA_YASGR_EGT,1.0",Divorces by Age Group and Educational Attainment,Yıllar itibarıyla yaş grubu ve eğitim durumuna göre boşanma sayısıdır.
87,"TR,DF_BOSANMA_ERKKAD_UYRUK,1.0",Divorces by Citizenship of Male and Female,Yıllar itibarıyla erkek ve kadınların uyruklarına göre boşanma sayısıdır.
88,"TR,DF_BOSANMA_DOGUMULKE,1.0",Divorces by Country of Birth of Male and Female,Yıllar itibarıyla erkeklerin ve kadınların doğdukları ülkeye göre boşanma sayısıdır.
89,"TR,DF_BOSANMA_EVL_SURE_YASGR,1.0",Divorces by Duration of Marriage and Age Group,Yıllara göre evlilik süresi ve yaş grubuna göre boşanma sayısıdır.
90,"TR,DF_BOSANMA_KARSILIKLI_EGT,1.0",Divorces by Educational Attainment of Male and Female,Yıllar itibarıyla erkeğin ve kadının eğitim durumuna göre boşanma sayısıdır.
91,"TR,DF_BOSANMA_ANNEBABA_VEL_VER,1.0",Divorces by Number of Children Given to Parent's Guardianship,Yıllara göre anne ve babanın velayetine verilen çocuk sayısına göre boşanma sayısıdır.
92,"TR,DF_BOSANMA_ES_YASFARK,1.0",Divorces by Province and Age Difference of Spouses,Yıllar itibarıyla il ve eşlerin yaş farkına göre boşanma sayısıdır.
93,"TR,DF_BOSANMA_KARSILIKLI_YASGR,1.0",Divorces by Province and Mutual Age Group of Spouses,Yıllara göre il ve eşlerin karşılıklı yaş grubuna göre boşanma sayısıdır.
94,"TR,DF_BOSANMA_CINS_YASGR,1.0","Divorces by Province, Sex and Age Group","Yıllar itibarıyla il, cinsiyet ve yaş grubuna göre boşanma sayısıdır."
95,"TR,DF_BOSANMA_DAVA_SURE,1.0",Divorces by Provinces and Duration of Divorce Case,Yıllar itibarıyla il ve dava süresine göre boşanma sayısıdır.
96,"TR,DF_BOSANMA_EVLSURE,1.0",Divorces by Provinces and Duration of Marriage,Yıllar itibarıyla il ve evlilik süresine göre boşanma sayısıdır.
97,"TR,DF_BOSANMA_EVLSURE_YASGR_IL,1.0","Divorces by Provinces, Duration of Marriage and Age Group",Yıllara göre il düzeyinde evlilik süresi ve yaş grubuna göre boşanma sayısıdır.
98,"TR,DF_UFE_V6,1.0",Domestic Producer Price Index - Weights of the components and their impact on index changes,Yurt İçi Üretici Fiyat Endeksi - Bölümlerin ağırlıkları ve endeks değişimine etkileri
99,"TR,DF_YIUFE_EDO_V1,1.0",Domestic Producer Price Index and Rate of Change [2003=100],Yurt İçi Üretici Fiyat Endeksi ve Değişim Oranları [2003=100]
100,"TR,DF_EKONOMIK_GUVEN_SDMX_C,1.0",Economic Confidence Index and Change Rates,Türkiye’de aylık ekonomik güven endeksini ve değişim oranlarını sunmaktadır.
101,"TR,DF_BD_HUKUK_DURUM_ALL,1.1",Economic Indicators of Enterprises by Legal Status,"Hukuki durumlarına göre yıl bazında girişim sayısı, istihdam ve ciro göstergeleridir."
102,"TR,DF_BD_SEKTOREL_ALL_V1,1.0",Economic Indicators of Enterprises by Sectors,"Sektörlere göre yıl bazında girişim sayısı, istihdam ve ciro göstergeleridir."
103,"TR,DF_BD_KURULUS_YIL,1.1",Economic indicators of enterprises by date of foundation,"Kuruluş yıllarına göre girişim sayısı, istihdam, ciro, ithalat ve ihracat göstergeleridir."
104,"TR,DF_EGITIM_HARCAMA_FINANS_KAYNAK,1.0",Education expenditure by level of education and financial source,Finans kaynağı ve eğitim düzeylerine göre eğitim harcamaları ile ilgili verileri içerir.
105,"TR,DF_EGITIM_HARCAMA_EGITIM_DUZEY_OGRENCI_BASI,1.0",Education expenditure per student by level of education,Eğitim düzeylerine göre öğrenci başına eğitim harcaması ile ilgili verileri içermektedir.
106,"TR,DF_EGITIM_HARCAMA_HIZMET_SUNUCU,1.0",Education expenditures by service providers and level of education,Hizmet sunucuları ve eğitim düzeylerine göre eğitim harcamaları ile ilgili verileri içerir.
107,"TR,DF_ISGUCU_CEYREK_NEET_EGITIM_C,1.0",Educational Level Of Young People Neither İn Employment Nor İn Education Or Training,"İşsiz veya işgücüne dâhil olmayan ve aynı zamanda eğitime devam etmeyen genç nüfusun dağılımı, cinsiyet ve eğitim düzeyi kırılımında çeyreklik olarak sunulmaktadır."
108,"TR,DF_YUKSEKOGRETIM_MEZUN_ORAN,1.0",Educational attainment (tertiary) of the population aged 25-34 by sex,Cinsiyete göre 25-34 yaş grubu nüfusta yükseköğretim mezun oranını içerir.
109,"TR,DF_MEZUN_NUFUS_ORAN,1.0",Educational attainment of the population by sex (25+ aged),Cinsiyete göre mezun olan nüfusun oranını içerir.
110,"TR,DF_EMISYON_DEGISIM_ORAN,1.1",Emissions Rate of Change,Emisyon değişim oranı ile ilgili verileri içerir.
111,"TR,DF_ISGUCU_CEYREK_ISTEKI_DURUM_ISTIHDAM_C,1.0",Employed By Status In Employment,"İstihdam edilenlerin işteki duruma göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
112,"TR,DF_ISGUCU_CEYREK_IKFA18_ISTIHDAM_C,1.0",Employment By Economic Activities (Nace Rev. 2),"İstihdam edilenlerin ekonomik faaliyete göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
113,"TR,DF_ISGUCU_CEYREK_NACE_2_1_ISTIHDAM_C,1.0",Employment By Economic Activities (Nace Rev. 2.1),"İstihdam edilenlerin ekonomik faaliyete göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
114,"TR,DF_ISGUCU_CEYREK_MESLEK_ISTIHDAM_C,1.0",Employment By Occupation,"İstihdam edilenlerin meslek gruplarına göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
115,"TR,DF_ISGUCU_CEYREK_SEKTOR_ISTIHDAM_C,1.0",Employment By Sector,"İstihdam edilenlerin sektöre göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
116,"TR,DF_ISGUCU_CEYREK_SEKTOR_ISTIHDAM_O,1.0",Employment By Sector-Revision History,"İstihdam edilenlerin sektöre göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
